SourceRow,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,LineAmount,Year,Month,HasCustomerID,TransactionType,ItemType
143,C536379,D,Discount,-1,2010-12-01 09:41:00,27.5,14527,United Kingdom,-27.5,2010,2010-12,True,Cancellation,Discount
485,536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,2010-12-01 11:45:00,6.35,17908,United Kingdom,19.049999999999997,2010,2010-12,True,Sale,Merchandise
1042,536522,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1,2010-12-01 12:49:00,4.25,15012,United Kingdom,4.25,2010,2010-12,True,Sale,Merchandise
1263,536532,22865,HAND WARMER OWL DESIGN,12,2010-12-01 13:24:00,2.1,12433,Norway,25.200000000000003,2010,2010-12,True,Sale,Merchandise
1360,536538,21690,SILVER  CANDLEPOT JARDIN,4,2010-12-01 13:54:00,3.75,14594,United Kingdom,15.0,2010,2010-12,True,Sale,Merchandise
1420,536540,21055,TOOL BOX SOFT TOY,4,2010-12-01 14:05:00,8.95,14911,EIRE,35.8,2010,2010-12,True,Sale,Merchandise
2140,536561,22865,HAND WARMER OWL DESIGN,12,2010-12-01 15:06:00,2.1,12921,United Kingdom,25.200000000000003,2010,2010-12,True,Sale,Merchandise
2297,536572,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 15:40:00,5.95,16539,United Kingdom,17.85,2010,2010-12,True,Sale,Merchandise
2356,536582,21481,FAWN BLUE HOT WATER BOTTLE,6,2010-12-01 16:21:00,2.95,12947,United Kingdom,17.700000000000003,2010,2010-12,True,Sale,Merchandise
3100,536597,72818,CHRISTMAS DECOUPAGE CANDLE,4,2010-12-01 17:35:00,0.85,18011,United Kingdom,3.4,2010,2010-12,True,Sale,Merchandise
3503,536634,20674,GREEN POLKADOT BOWL,12,2010-12-02 11:21:00,1.25,18041,United Kingdom,15.0,2010,2010-12,True,Sale,Merchandise
4148,536749,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-02 13:49:00,2.1,17976,United Kingdom,2.1,2010,2010-12,True,Sale,Merchandise
5666,536865,82583,HOT BATHS METAL SIGN,4,2010-12-03 11:28:00,4.21,,United Kingdom,16.84,2010,2010-12,False,Sale,Merchandise
6191,536876,21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,3,2010-12-03 11:36:00,1.65,,United Kingdom,4.949999999999999,2010,2010-12,False,Sale,Merchandise
6206,536876,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,2010-12-03 11:36:00,2.51,,United Kingdom,2.51,2010,2010-12,False,Sale,Merchandise
6445,536945,21250,SET OF SKULL WALL STICKERS,2,2010-12-03 12:24:00,2.95,14083,United Kingdom,5.9,2010,2010-12,True,Sale,Merchandise
7137,536990,22383,LUNCH BAG SUKI  DESIGN,10,2010-12-03 15:14:00,1.65,12793,Portugal,16.5,2010,2010-12,True,Sale,Merchandise
7603,537047,22737,RIBBON REEL CHRISTMAS PRESENT,3,2010-12-05 11:02:00,1.65,13069,United Kingdom,4.949999999999999,2010,2010-12,True,Sale,Merchandise
9056,537176,22555,PLASTERS IN TIN STRONGMAN,6,2010-12-05 13:26:00,1.65,16411,United Kingdom,9.899999999999999,2010,2010-12,True,Sale,Merchandise
9318,537199,22156,HEART DECORATION WITH PEARLS,1,2010-12-05 14:06:00,0.85,15894,United Kingdom,0.85,2010,2010-12,True,Sale,Merchandise
10222,537237,15036,ASSORTED COLOURS SILK FAN,2,2010-12-06 09:58:00,1.28,,United Kingdom,2.56,2010,2010-12,False,Sale,Merchandise
10654,537237,22924,FRIDGE MAGNETS LA VIE EN ROSE,1,2010-12-06 09:58:00,11.02,,United Kingdom,11.02,2010,2010-12,False,Sale,Merchandise
11103,537240,21754,HOME BUILDING BLOCK WORD,4,2010-12-06 10:08:00,11.87,,United Kingdom,47.48,2010,2010-12,False,Sale,Merchandise
12238,537371,21866,UNION JACK FLAG LUGGAGE TAG,8,2010-12-06 12:47:00,1.25,15028,United Kingdom,10.0,2010,2010-12,True,Sale,Merchandise
12705,537393,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,2010-12-06 13:59:00,4.95,13089,United Kingdom,79.2,2010,2010-12,True,Sale,Merchandise
13127,537421,22530,MAGIC DRAWING SLATE DOLLY GIRL,2,2010-12-06 15:25:00,0.42,17218,United Kingdom,0.84,2010,2010-12,True,Sale,Merchandise
14335,C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,2010-12-07 11:47:00,6.35,13319,United Kingdom,-12.7,2010,2010-12,True,Cancellation,Merchandise
16569,537666,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-12-07 18:36:00,5.91,,United Kingdom,5.91,2010,2010-12,False,Sale,Merchandise
17174,537688,90212C,PURPLE LAS VEGAS BRACELET ROUND,3,2010-12-08 10:35:00,3.75,17406,United Kingdom,11.25,2010,2010-12,True,Sale,Merchandise
18021,537793,85099F,JUMBO BAG STRAWBERRY,100,2010-12-08 12:57:00,1.65,15032,United Kingdom,165.0,2010,2010-12,True,Sale,Merchandise
18054,537794,85231G,ORANGE SCENTED SET/9 T-LIGHTS,3,2010-12-08 13:01:00,0.85,16713,United Kingdom,2.55,2010,2010-12,True,Sale,Merchandise
18893,537823,22601,CHRISTMAS RETROSPOT ANGEL WOOD,2,2010-12-08 14:25:00,1.66,,United Kingdom,3.32,2010,2010-12,False,Sale,Merchandise
19546,537868,22095,LADS ONLY TISSUE BOX,12,2010-12-08 16:49:00,1.25,12433,Norway,15.0,2010,2010-12,True,Sale,Merchandise
20909,538071,22141,CHRISTMAS CRAFT TREE TOP ANGEL,2,2010-12-09 14:09:00,4.21,,United Kingdom,8.42,2010,2010-12,False,Sale,Merchandise
21240,538071,84559B,3D SHEET OF CAT STICKERS,2,2010-12-09 14:09:00,1.69,,United Kingdom,3.38,2010,2010-12,False,Sale,Merchandise
21508,538086,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2010-12-09 14:44:00,2.95,12872,United Kingdom,23.6,2010,2010-12,True,Sale,Merchandise
21733,538116,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2010-12-09 15:32:00,2.95,13327,United Kingdom,35.400000000000006,2010,2010-12,True,Sale,Merchandise
23286,538196,21533,RETROSPOT LARGE MILK JUG,12,2010-12-10 10:56:00,4.25,12731,France,51.0,2010,2010-12,True,Sale,Merchandise
23750,538211,21481,FAWN BLUE HOT WATER BOTTLE,6,2010-12-10 11:47:00,2.95,17690,United Kingdom,17.700000000000003,2010,2010-12,True,Sale,Merchandise
23791,538248,22804,CANDLEHOLDER PINK HANGING HEART,2,2010-12-10 12:14:00,2.95,18116,United Kingdom,5.9,2010,2010-12,True,Sale,Merchandise
23870,538255,48187,DOORMAT NEW ENGLAND,2,2010-12-10 12:33:00,7.95,14911,EIRE,15.9,2010,2010-12,True,Sale,Merchandise
23871,538255,22423,REGENCY CAKESTAND 3 TIER,6,2010-12-10 12:33:00,12.75,14911,EIRE,76.5,2010,2010-12,True,Sale,Merchandise
24795,538349,79321,CHILLI LIGHTS,1,2010-12-10 14:59:00,10.17,,United Kingdom,10.17,2010,2010-12,False,Sale,Merchandise
24903,538349,90214C,"LETTER ""C"" BLING KEY RING",1,2010-12-10 14:59:00,0.85,,United Kingdom,0.85,2010,2010-12,False,Sale,Merchandise
